epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.7222,0.7585,2.26765,1.18759,0.99119,0.42282,0.82143,0.57863,0.95682,2.49291,1.48799,0.000468121,0.000468121,0.000468121
2,62.7533,0.81309,1.51694,1.16468,0.78559,0.80418,0.91059,0.71941,0.75587,1.35144,1.26196,0.000925754,0.000925754,0.000925754
3,79.72,0.79267,1.29209,1.13666,0.8365,0.79593,0.88071,0.69469,0.77937,1.4482,1.27961,0.00136452,0.00136452,0.00136452
4,97.8311,0.81737,1.17118,1.16185,0.8261,0.89671,0.94016,0.73879,0.65937,1.33398,1.14747,0.00134412,0.00134412,0.00134412
5,115.572,0.76911,1.10466,1.13317,0.9156,0.92857,0.96392,0.76563,0.83885,1.01297,1.30133,0.00131582,0.00131582,0.00131582
6,132.588,0.73288,0.92365,1.11865,0.96938,0.95582,0.98306,0.81238,0.64367,0.73516,1.16418,0.00128753,0.00128753,0.00128753
7,150.634,0.73834,0.89507,1.11345,0.99457,0.99798,0.995,0.81726,0.66685,0.62298,1.14338,0.00125923,0.00125923,0.00125923
8,168.392,0.71546,0.79899,1.1031,0.81821,0.90861,0.96411,0.70091,0.92973,0.82923,1.38934,0.00123094,0.00123094,0.00123094
9,185.673,0.71653,0.77539,1.10767,0.96649,0.92234,0.96514,0.78982,0.70117,0.62897,1.19362,0.00120265,0.00120265,0.00120265
10,202.459,0.66702,0.71246,1.07769,0.97123,1,0.995,0.86171,0.60367,0.43611,1.09956,0.00117435,0.00117435,0.00117435
11,220.016,0.67606,0.67564,1.08648,0.98574,0.9743,0.9918,0.83094,0.64424,0.42011,1.13982,0.00114606,0.00114606,0.00114606
12,236.762,0.65424,0.63809,1.07444,0.98848,0.94965,0.99159,0.85272,0.57511,0.49829,1.06031,0.00111776,0.00111776,0.00111776
13,253.66,0.64104,0.60969,1.06059,0.95682,0.9917,0.99409,0.8394,0.60327,0.4566,1.09389,0.00108947,0.00108947,0.00108947
14,271.868,0.65256,0.62633,1.06999,0.99405,1,0.995,0.85417,0.59109,0.3692,1.09935,0.00106118,0.00106118,0.00106118
15,288.747,0.63886,0.58241,1.05009,0.99487,1,0.995,0.83815,0.62598,0.39976,1.10752,0.00103288,0.00103288,0.00103288
16,305.453,0.6312,0.56903,1.06196,0.98731,1,0.995,0.82708,0.69622,0.41754,1.16599,0.00100459,0.00100459,0.00100459
17,322.954,0.59812,0.51653,1.04266,0.9946,1,0.995,0.79369,0.71555,0.37963,1.20223,0.000976293,0.000976293,0.000976293
18,340.988,0.63966,0.57303,1.06943,0.96123,1,0.99295,0.87159,0.58061,0.43603,1.0717,0.000947999,0.000947999,0.000947999
19,357.701,0.61429,0.51856,1.04205,0.99228,1,0.995,0.88124,0.5362,0.33097,1.04077,0.000919704,0.000919704,0.000919704
20,374.303,0.5734,0.47311,1.03956,0.97875,0.99558,0.995,0.85825,0.57567,0.33527,1.07635,0.00089141,0.00089141,0.00089141
21,392.395,0.58932,0.48315,1.0445,0.99391,1,0.995,0.86882,0.57058,0.35944,1.05802,0.000863116,0.000863116,0.000863116
22,409.225,0.59297,0.49204,1.03412,0.9913,0.9972,0.995,0.84287,0.61235,0.32881,1.09294,0.000834822,0.000834822,0.000834822
23,426.342,0.56448,0.46756,1.01789,0.99295,1,0.995,0.85466,0.58302,0.34366,1.08501,0.000806528,0.000806528,0.000806528
24,444.508,0.5678,0.46765,1.03112,0.99501,1,0.995,0.8645,0.58815,0.33115,1.07024,0.000778233,0.000778233,0.000778233
25,461.096,0.55681,0.43777,1.03084,0.99668,1,0.995,0.86597,0.55177,0.30442,1.03553,0.000749939,0.000749939,0.000749939
26,478.171,0.55647,0.45529,1.01465,0.99617,1,0.995,0.87916,0.52528,0.28185,1.02509,0.000721645,0.000721645,0.000721645
27,495.372,0.5428,0.44868,1.01752,0.99143,0.95633,0.995,0.8723,0.57592,0.32924,1.05466,0.000693351,0.000693351,0.000693351
28,512.919,0.51582,0.4065,1.00107,0.99628,1,0.995,0.88086,0.54694,0.2914,1.0424,0.000665057,0.000665057,0.000665057
29,529.505,0.51022,0.42182,1.00237,0.93297,0.92857,0.95276,0.83309,0.55286,0.41465,1.03494,0.000636762,0.000636762,0.000636762
30,546.245,0.5288,0.42503,1.01936,0.9961,1,0.995,0.88407,0.5352,0.28187,1.01638,0.000608468,0.000608468,0.000608468
31,563.56,0.53066,0.40824,0.99941,0.99582,1,0.995,0.82422,0.66322,0.28245,1.14364,0.000580174,0.000580174,0.000580174
32,581.115,0.50133,0.38811,0.99944,0.99576,1,0.995,0.86091,0.57114,0.27649,1.04398,0.00055188,0.00055188,0.00055188
33,598.326,0.48453,0.37168,0.98875,0.99538,1,0.995,0.8651,0.57365,0.28509,1.06932,0.000523586,0.000523586,0.000523586
34,614.656,0.48434,0.37531,0.98487,0.98895,1,0.995,0.87804,0.55755,0.27334,1.0361,0.000495291,0.000495291,0.000495291
35,632.721,0.49095,0.35833,0.99022,0.99723,1,0.995,0.87465,0.52504,0.264,1.01687,0.000466997,0.000466997,0.000466997
36,650.536,0.48953,0.37122,0.98801,0.99611,1,0.995,0.87515,0.53996,0.26194,1.0265,0.000438703,0.000438703,0.000438703
37,667.833,0.48347,0.38164,0.98835,0.99621,1,0.995,0.8782,0.55777,0.25106,1.04428,0.000410409,0.000410409,0.000410409
38,686.033,0.46942,0.34124,0.976,0.99606,1,0.995,0.86555,0.56279,0.25672,1.04776,0.000382115,0.000382115,0.000382115
39,703,0.46093,0.35325,0.98534,0.99595,1,0.995,0.87848,0.5252,0.26473,1.01256,0.00035382,0.00035382,0.00035382
40,719.731,0.44784,0.33572,0.96959,0.99584,1,0.995,0.88953,0.51628,0.24365,1.00347,0.000325526,0.000325526,0.000325526
41,739.269,0.34782,0.27836,0.92495,0.99526,1,0.995,0.88842,0.52948,0.23173,1.01679,0.000297232,0.000297232,0.000297232
42,755.723,0.33206,0.26723,0.91227,0.99737,1,0.995,0.88482,0.54987,0.24033,1.03744,0.000268938,0.000268938,0.000268938
43,771.79,0.32963,0.24929,0.90865,0.99719,1,0.995,0.88083,0.53075,0.25324,1.01552,0.000240644,0.000240644,0.000240644
44,787.738,0.31525,0.25716,0.90324,0.99713,1,0.995,0.89603,0.52891,0.24513,1.02211,0.000212349,0.000212349,0.000212349
45,804.335,0.306,0.2406,0.89463,0.99644,1,0.995,0.89061,0.51127,0.22911,1.00101,0.000184055,0.000184055,0.000184055
46,821.486,0.30877,0.2334,0.90726,0.99696,1,0.995,0.88003,0.50626,0.23932,1.00765,0.000155761,0.000155761,0.000155761
47,837.672,0.31402,0.21392,0.90542,0.99757,1,0.995,0.89167,0.50212,0.22773,0.99333,0.000127467,0.000127467,0.000127467
48,854.205,0.29533,0.22239,0.90399,0.9972,1,0.995,0.88535,0.51035,0.2389,1.00225,9.91726e-05,9.91726e-05,9.91726e-05
49,870.863,0.29487,0.2221,0.89862,0.99738,1,0.995,0.88288,0.5134,0.23154,1.00795,7.08784e-05,7.08784e-05,7.08784e-05
50,888.115,0.27849,0.20285,0.88509,0.99763,1,0.995,0.88784,0.50966,0.23214,1.00177,4.25842e-05,4.25842e-05,4.25842e-05
