epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.271,0.75323,2.2629,1.19496,0.79122,0.71159,0.83792,0.70842,0.54699,2.04833,1.11352,0.000470379,0.000470379,0.000470379
2,71.9348,0.73767,1.32672,1.14338,0.55503,0.76369,0.70118,0.59238,0.59691,2.24814,1.17535,0.000927968,0.000927968,0.000927968
3,95.5638,0.75845,1.22106,1.15019,0.63279,0.75794,0.77157,0.64258,0.61453,1.5629,1.18317,0.00136669,0.00136669,0.00136669
4,118.915,0.73653,1.10581,1.13532,0.85264,0.85832,0.94056,0.7231,0.89235,1.2435,1.45426,0.00134412,0.00134412,0.00134412
5,142.589,0.71215,0.91964,1.1071,0.7878,0.87548,0.88712,0.71828,0.6486,0.99756,1.20193,0.00131582,0.00131582,0.00131582
6,164.861,0.66365,0.80532,1.08112,0.95888,0.97771,0.98618,0.78641,0.86573,0.66728,1.40517,0.00128753,0.00128753,0.00128753
7,188.158,0.66265,0.81015,1.0938,0.72686,0.77115,0.80207,0.69813,0.53452,1.01561,1.10815,0.00125923,0.00125923,0.00125923
8,211.527,0.6489,0.71247,1.0871,0.9173,0.96542,0.97956,0.85125,0.47573,0.52052,1.05925,0.00123094,0.00123094,0.00123094
9,235.229,0.65685,0.67581,1.08274,0.85815,0.86707,0.93189,0.80148,0.54056,1.34197,1.12618,0.00120265,0.00120265,0.00120265
10,257.414,0.64369,0.66096,1.07587,0.91237,0.91218,0.97913,0.86895,0.45435,0.50656,1.03518,0.00117435,0.00117435,0.00117435
11,280.89,0.60817,0.62091,1.06328,0.93383,0.92488,0.98958,0.87424,0.48375,0.46639,1.0632,0.00114606,0.00114606,0.00114606
12,304.481,0.61517,0.58304,1.05833,0.93711,0.97112,0.98981,0.84249,0.54138,0.61302,1.13562,0.00111776,0.00111776,0.00111776
13,328.342,0.62281,0.5867,1.06644,0.93858,0.9681,0.9927,0.85089,0.5249,0.47267,1.08987,0.00108947,0.00108947,0.00108947
14,350.871,0.59039,0.54277,1.04535,0.88767,0.93933,0.98482,0.8919,0.47108,0.54416,1.03742,0.00106118,0.00106118,0.00106118
15,374.889,0.59839,0.52216,1.05221,0.99656,0.98655,0.995,0.87364,0.47126,0.351,1.0526,0.00103288,0.00103288,0.00103288
16,398.656,0.60523,0.52574,1.04706,0.9928,0.99751,0.995,0.8923,0.4497,0.30793,1.02869,0.00100459,0.00100459,0.00100459
17,422.284,0.56112,0.51347,1.04245,0.96623,0.98505,0.99364,0.88904,0.41931,0.32458,0.99934,0.000976293,0.000976293,0.000976293
18,444.818,0.5591,0.48732,1.0325,0.80982,0.93651,0.95231,0.85526,0.4462,0.46918,1.01927,0.000947999,0.000947999,0.000947999
19,468.369,0.5259,0.45466,1.00886,0.99484,1,0.995,0.90774,0.38469,0.27357,0.97994,0.000919704,0.000919704,0.000919704
20,491.59,0.56249,0.45539,1.02636,0.98992,1,0.995,0.87121,0.53206,0.33271,1.08474,0.00089141,0.00089141,0.00089141
21,515.413,0.53479,0.45309,1.02129,0.97538,0.98687,0.995,0.87593,0.43222,0.33904,1.00111,0.000863116,0.000863116,0.000863116
22,537.502,0.53399,0.47441,1.02195,0.96404,0.99285,0.995,0.90863,0.35621,0.28392,0.9548,0.000834822,0.000834822,0.000834822
23,561.016,0.54062,0.44845,1.02024,0.98003,1,0.995,0.91103,0.36711,0.26831,0.94983,0.000806528,0.000806528,0.000806528
24,584.328,0.50124,0.42377,1.00449,0.98006,0.99754,0.995,0.90319,0.40178,0.28477,0.98735,0.000778233,0.000778233,0.000778233
25,607.376,0.51838,0.41975,1.01505,0.96185,0.97037,0.99118,0.90651,0.3799,0.31663,0.96747,0.000749939,0.000749939,0.000749939
26,630.418,0.49626,0.41587,1.00421,0.98861,0.9765,0.99384,0.92003,0.36319,0.2518,0.94355,0.000721645,0.000721645,0.000721645
27,653.443,0.485,0.40611,0.99675,0.99571,1,0.995,0.92098,0.36218,0.25784,0.9438,0.000693351,0.000693351,0.000693351
28,677.399,0.48467,0.38951,0.99397,0.98815,0.98714,0.995,0.90597,0.39492,0.27343,0.97051,0.000665057,0.000665057,0.000665057
29,700.899,0.50119,0.40118,1.00726,0.99361,0.99834,0.995,0.91611,0.35876,0.24657,0.94872,0.000636762,0.000636762,0.000636762
30,723.202,0.47923,0.37376,0.99125,0.99545,0.99188,0.995,0.90915,0.4161,0.26148,0.98044,0.000608468,0.000608468,0.000608468
31,746.851,0.47851,0.37152,0.99031,0.99243,1,0.995,0.92654,0.33061,0.21137,0.93487,0.000580174,0.000580174,0.000580174
32,769.99,0.45501,0.36272,0.9857,0.97568,0.98437,0.995,0.87946,0.46653,0.25668,1.02178,0.00055188,0.00055188,0.00055188
33,793.04,0.47448,0.36351,0.98957,0.99652,1,0.995,0.92151,0.32161,0.20904,0.92918,0.000523586,0.000523586,0.000523586
34,816.531,0.45389,0.35684,0.98278,0.99521,1,0.995,0.92291,0.33374,0.2375,0.93713,0.000495291,0.000495291,0.000495291
35,841.07,0.4584,0.34023,0.98759,0.99657,1,0.995,0.91606,0.34624,0.22003,0.94043,0.000466997,0.000466997,0.000466997
36,864.962,0.44738,0.36492,0.98125,0.98887,0.9982,0.995,0.90105,0.38217,0.22226,0.95584,0.000438703,0.000438703,0.000438703
37,889.133,0.44472,0.34327,0.97559,0.99242,1,0.995,0.92555,0.34135,0.23924,0.92728,0.000410409,0.000410409,0.000410409
38,911.373,0.44822,0.32484,0.97993,0.98625,0.99824,0.995,0.91449,0.31686,0.19284,0.92505,0.000382115,0.000382115,0.000382115
39,935.346,0.42042,0.31072,0.96232,0.99621,1,0.995,0.929,0.30034,0.18922,0.9098,0.00035382,0.00035382,0.00035382
40,959.557,0.41482,0.31867,0.9649,0.99282,0.99982,0.995,0.90956,0.34424,0.20422,0.94413,0.000325526,0.000325526,0.000325526
41,984.858,0.32471,0.24841,0.93087,0.99274,0.9853,0.995,0.9153,0.33776,0.21331,0.93236,0.000297232,0.000297232,0.000297232
42,1007.68,0.30744,0.23157,0.91014,0.98298,0.98962,0.98212,0.90741,0.30554,0.20317,0.9074,0.000268938,0.000268938,0.000268938
43,1029.43,0.30611,0.22336,0.907,0.9941,1,0.995,0.92464,0.29843,0.19299,0.90038,0.000240644,0.000240644,0.000240644
44,1052.48,0.29226,0.21989,0.89666,0.99637,1,0.995,0.92462,0.30799,0.17235,0.90231,0.000212349,0.000212349,0.000212349
45,1075.02,0.28543,0.21281,0.90231,0.99659,1,0.995,0.93058,0.29836,0.16452,0.90225,0.000184055,0.000184055,0.000184055
46,1096.75,0.28887,0.20003,0.90002,0.99597,1,0.995,0.92881,0.28538,0.17412,0.89303,0.000155761,0.000155761,0.000155761
47,1119.71,0.27467,0.20735,0.89519,0.99669,1,0.995,0.92935,0.29641,0.16906,0.90638,0.000127467,0.000127467,0.000127467
