epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1222.39,1.03903,2.22182,1.5943,0.77632,0.80762,0.84659,0.58127,1.07416,2.55384,2.01471,0.000471753,0.000471753,0.000471753
2,2623.99,0.961,1.24721,1.45379,0.69432,0.90914,0.76104,0.34405,1.67023,2.27969,2.96478,0.000929314,0.000929314,0.000929314
3,4011.44,0.96152,1.07596,1.44766,0.90683,0.88458,0.98381,0.72776,0.94322,1.20227,1.81076,0.00136801,0.00136801,0.00136801
4,5388.92,0.95601,0.9215,1.44265,0.78461,0.95503,0.93612,0.67663,0.91143,1.30005,1.70694,0.00134412,0.00134412,0.00134412
5,6922.83,0.91875,0.86262,1.4062,0.82048,0.98973,0.98389,0.76824,0.83516,0.9403,1.60118,0.00131582,0.00131582,0.00131582
6,8454.01,0.90248,0.75381,1.38894,0.77494,0.93959,0.95327,0.73444,0.84058,0.98193,1.5925,0.00128753,0.00128753,0.00128753
7,9135.88,0.858,0.68554,1.36358,0.81203,0.90502,0.95081,0.74296,0.79622,0.95186,1.54366,0.00125923,0.00125923,0.00125923
8,9811.7,0.85192,0.65664,1.35359,0.98046,0.97627,0.9933,0.71917,1.00122,0.62072,1.74357,0.00123094,0.00123094,0.00123094
9,10492.3,0.85981,0.64123,1.35757,0.81186,0.93267,0.99091,0.76209,0.84524,0.73195,1.59411,0.00120265,0.00120265,0.00120265
10,11168.4,0.82236,0.58587,1.33662,0.95954,0.96899,0.99086,0.72969,0.97378,0.53988,1.79247,0.00117435,0.00117435,0.00117435
11,11843.4,0.81331,0.56717,1.32388,0.74945,0.69561,0.95674,0.77032,0.76373,1.45613,1.47544,0.00114606,0.00114606,0.00114606
12,12516.4,0.78549,0.57054,1.30326,0.92226,0.89788,0.982,0.78332,0.78179,0.58087,1.53191,0.00111776,0.00111776,0.00111776
13,13188.2,0.78896,0.55549,1.30777,0.96404,0.95269,0.98915,0.76478,0.86346,0.49681,1.61793,0.00108947,0.00108947,0.00108947
14,13859.4,0.77713,0.5408,1.29169,0.70457,0.82643,0.9693,0.77587,0.79058,1.29371,1.5149,0.00106118,0.00106118,0.00106118
15,14538.4,0.76781,0.51095,1.29374,0.98947,0.98198,0.99136,0.7805,0.82189,0.42109,1.54565,0.00103288,0.00103288,0.00103288
16,15208.4,0.7829,0.52213,1.30717,0.98888,0.99413,0.99485,0.7485,0.88293,0.45601,1.64548,0.00100459,0.00100459,0.00100459
17,15882.4,0.76997,0.50817,1.28853,0.76972,0.9651,0.99084,0.78172,0.81006,0.69831,1.55651,0.000976293,0.000976293,0.000976293
18,16553.9,0.7661,0.50114,1.28206,0.86349,0.88339,0.98324,0.78281,0.7651,0.57702,1.49191,0.000947999,0.000947999,0.000947999
19,17223.4,0.7701,0.47606,1.28476,0.99466,1,0.99492,0.78957,0.79753,0.34325,1.54091,0.000919704,0.000919704,0.000919704
20,17894.8,0.77315,0.47244,1.28517,0.98365,1,0.99496,0.8123,0.71445,0.33548,1.41178,0.00089141,0.00089141,0.00089141
21,18560.4,0.74798,0.45857,1.26564,0.99315,0.99009,0.995,0.78712,0.78024,0.33884,1.50243,0.000863116,0.000863116,0.000863116
22,19225.8,0.74865,0.46048,1.27167,0.98682,0.99115,0.99492,0.80901,0.7413,0.33319,1.41251,0.000834822,0.000834822,0.000834822
23,19892.6,0.74956,0.46989,1.26735,0.84206,0.94873,0.99415,0.79718,0.76333,0.63405,1.44898,0.000806528,0.000806528,0.000806528
24,20557.7,0.73355,0.46347,1.25587,0.96868,0.95356,0.99171,0.80505,0.72509,0.37101,1.41028,0.000778233,0.000778233,0.000778233
25,21226.9,0.72019,0.44364,1.25066,0.82505,0.95923,0.99239,0.80341,0.74166,0.62615,1.42263,0.000749939,0.000749939,0.000749939
26,21896.2,0.72951,0.44783,1.25746,0.99725,1,0.995,0.80918,0.7361,0.31961,1.43483,0.000721645,0.000721645,0.000721645
27,22562.2,0.71883,0.42694,1.25084,0.99244,1,0.995,0.79995,0.73262,0.29417,1.42164,0.000693351,0.000693351,0.000693351
28,23226.7,0.72057,0.43592,1.242,0.99487,0.99911,0.995,0.79413,0.74699,0.31145,1.45283,0.000665057,0.000665057,0.000665057
29,23891.5,0.72219,0.43107,1.24641,0.98931,0.99087,0.99402,0.78415,0.79946,0.33094,1.51413,0.000636762,0.000636762,0.000636762
30,24557.6,0.70911,0.40985,1.24205,0.98225,0.98849,0.99465,0.81387,0.70793,0.30267,1.39211,0.000608468,0.000608468,0.000608468
31,25226.8,0.72462,0.4245,1.25872,0.99597,0.99976,0.995,0.80704,0.73736,0.29749,1.42192,0.000580174,0.000580174,0.000580174
32,25891.9,0.71108,0.40994,1.2388,0.9971,1,0.995,0.81868,0.72028,0.29351,1.39522,0.00055188,0.00055188,0.00055188
33,26560.2,0.69652,0.39432,1.22762,0.98645,0.98904,0.99485,0.80958,0.72369,0.2976,1.41017,0.000523586,0.000523586,0.000523586
34,27226.5,0.68217,0.38812,1.22776,0.99689,0.98739,0.995,0.80576,0.73638,0.2883,1.41927,0.000495291,0.000495291,0.000495291
35,27892,0.68586,0.39856,1.22436,0.9989,1,0.995,0.81091,0.71974,0.28088,1.3894,0.000466997,0.000466997,0.000466997
36,28559.6,0.70039,0.38596,1.23306,0.99542,1,0.995,0.80359,0.73633,0.29165,1.42119,0.000438703,0.000438703,0.000438703
37,29226.7,0.68114,0.38593,1.22382,0.99899,1,0.995,0.82002,0.71704,0.27954,1.38731,0.000410409,0.000410409,0.000410409
38,29891.1,0.68229,0.3855,1.22898,0.99521,0.99977,0.995,0.79895,0.77066,0.29547,1.45615,0.000382115,0.000382115,0.000382115
39,30555.1,0.67088,0.37472,1.21201,0.99842,0.99974,0.995,0.82145,0.70136,0.25963,1.37269,0.00035382,0.00035382,0.00035382
40,31221.3,0.67796,0.3639,1.22305,0.99883,1,0.995,0.81666,0.72309,0.25657,1.41665,0.000325526,0.000325526,0.000325526
41,31887.3,0.60422,0.28514,1.35562,0.99894,1,0.995,0.80831,0.71694,0.27948,1.39816,0.000297232,0.000297232,0.000297232
42,32557.5,0.58363,0.27885,1.31843,0.96888,0.97834,0.995,0.80092,0.74499,0.33551,1.43275,0.000268938,0.000268938,0.000268938
43,33215.6,0.56708,0.26011,1.30734,0.99835,1,0.995,0.81379,0.70708,0.25778,1.3878,0.000240644,0.000240644,0.000240644
44,33874.8,0.56791,0.25064,1.30388,0.9991,1,0.995,0.81442,0.71641,0.25551,1.39233,0.000212349,0.000212349,0.000212349
45,34534,0.56165,0.24683,1.29196,0.99752,1,0.995,0.80964,0.71405,0.25508,1.39151,0.000184055,0.000184055,0.000184055
46,35192.4,0.55552,0.24331,1.28456,0.99909,1,0.995,0.81365,0.70949,0.24522,1.38585,0.000155761,0.000155761,0.000155761
47,35861.3,0.54591,0.23516,1.27996,0.99368,0.99621,0.995,0.81999,0.7017,0.25429,1.3796,0.000127467,0.000127467,0.000127467
48,36523.3,0.54556,0.23624,1.27244,0.99828,0.9964,0.995,0.8143,0.71142,0.25739,1.39224,9.91726e-05,9.91726e-05,9.91726e-05
49,37182.3,0.53531,0.22871,1.27245,0.99888,1,0.995,0.81442,0.70694,0.24618,1.38766,7.08784e-05,7.08784e-05,7.08784e-05
50,37836.9,0.52744,0.22595,1.27219,0.99843,1,0.995,0.82383,0.68698,0.24046,1.3598,4.25842e-05,4.25842e-05,4.25842e-05
